candles

open;close;high;low;value;volume;begin;end
135.25;134.41;135.31;133.61;6633535807.5;0;2016-02-01 00:00:00;2016-02-29 00:00:00
134.33;135.18;135.18;134.17;9751610434.5;0;2016-01-01 00:00:00;2016-01-29 00:00:00
132.9;134.11;134.11;132.8;16290297773.099998;0;2015-12-01 00:00:00;2015-12-30 00:00:00
133.64;132.74;133.92;132.13;12526724920.629997;0;2015-11-01 00:00:00;2015-11-30 00:00:00
132.16;133.56;133.66;132.16;14799458668.099998;0;2015-10-01 00:00:00;2015-10-30 00:00:00
131.17;132.1;132.1;130.82;8631544791.34;0;2015-09-01 00:00:00;2015-09-30 00:00:00
131.29;131.04;131.29;130.46;6138204561.78;0;2015-08-01 00:00:00;2015-08-31 00:00:00
131.08;132.2;132.3;130.63;7804701380.070001;0;2015-07-01 00:00:00;2015-07-31 00:00:00
130.16;131.2;131.2;129.94;14709617787.179996;0;2015-06-01 00:00:00;2015-06-30 00:00:00
130.51;131.38;131.38;130.51;5686997451.459999;0;2015-05-01 00:00:00;2015-05-31 00:00:00
128.36;130.27;130.27;128.1;4968986001.15;0;2015-04-01 00:00:00;2015-04-30 00:00:00
126.2;128.18;128.24;126.2;3415223934.95;0;2015-03-01 00:00:00;2015-03-31 00:00:00
124.78;125.87;126.15;124.78;19269787356.01;0;2015-02-01 00:00:00;2015-02-28 00:00:00
123.19;124.25;124.25;122.67;8606420346.33;0;2015-01-01 00:00:00;2015-01-31 00:00:00
123.96;123.47;124.26;122.03;26016567459.770008;0;2014-12-01 00:00:00;2014-12-31 00:00:00
123.96;124.13;124.17;123.69;33412994958.719997;0;2014-11-01 00:00:00;2014-11-30 00:00:00
123.29;123.78;124.08;123.22;32898716149.57;0;2014-10-01 00:00:00;2014-10-31 00:00:00
122.28;123.28;123.33;122.28;21717046837.390003;0;2014-09-01 00:00:00;2014-09-30 00:00:00
121.55;122.33;122.61;121.55;10702822099.62;0;2014-08-01 00:00:00;2014-08-31 00:00:00
120.99;121.28;121.45;120.99;7009467590.179999;0;2014-07-01 00:00:00;2014-07-31 00:00:00
120.29;121.05;121.05;120.26;1832281528.88;0;2014-06-01 00:00:00;2014-06-30 00:00:00
119.62;120.13;120.21;119.45;10363752875.619999;0;2014-05-01 00:00:00;2014-05-31 00:00:00
119.26;119.51;119.62;119.26;11966397290.249998;0;2014-04-01 00:00:00;2014-04-30 00:00:00
118.46;119.28;119.28;118.43;14551917674.650002;0;2014-03-01 00:00:00;2014-03-31 00:00:00
118.53;119.04;119.05;118.5;20348866362.1;0;2014-02-01 00:00:00;2014-02-28 00:00:00
118.14;118.45;118.46;118.14;21623357189.579998;0;2014-01-01 00:00:00;2014-01-31 00:00:00
115.17;115.4;115.52;115.17;34510640011.69;0;2013-12-01 00:00:00;2013-12-30 00:00:00
116.92;115.17;117.33;115.17;23036301088.22;0;2013-11-01 00:00:00;2013-11-30 00:00:00
116.31;116.9;116.9;116.31;32024361618.94;0;2013-10-01 00:00:00;2013-10-31 00:00:00
115.77;116.29;116.29;115.77;22508310725.2;0;2013-09-01 00:00:00;2013-09-30 00:00:00
115.18;115.71;115.71;115.18;16313939753.58;0;2013-08-01 00:00:00;2013-08-31 00:00:00
114.58;115.16;115.17;114.58;16152295369.66;0;2013-07-01 00:00:00;2013-07-31 00:00:00
113.99;114.6;114.6;113.99;13135022890.53;0;2013-06-01 00:00:00;2013-06-30 00:00:00
113.75;114.03;114.04;113.75;14299767978.57;0;2013-05-01 00:00:00;2013-05-31 00:00:00
113.25;113.71;113.71;113.23;10695105399.52;0;2013-04-01 00:00:00;2013-04-30 00:00:00
112.9;113.21;113.21;112.86;7381988062.24;0;2013-03-01 00:00:00;2013-03-31 00:00:00
112.7;112.87;112.87;112.52;5039177287.82;0;2013-02-01 00:00:00;2013-02-28 00:00:00
111.68;112.7;112.7;111.67;3566627654.64;0;2013-01-01 00:00:00;2013-01-31 00:00:00
111;111.46;111.51;111;1036527315.94;0;2012-12-01 00:00:00;2012-12-31 00:00:00
110.36;110.93;110.93;110.36;9892560682.79;0;2012-11-01 00:00:00;2012-11-30 00:00:00
109.81;110.34;110.34;109.81;9284669904.08;0;2012-10-01 00:00:00;2012-10-31 00:00:00
109.29;109.78;109.78;109.29;6271807855.73;0;2012-09-01 00:00:00;2012-09-30 00:00:00
108.72;109.25;109.27;108.72;10754083084.68;0;2012-08-01 00:00:00;2012-08-31 00:00:00
107.99;108.67;108.84;107.99;8299905456.22;0;2012-07-01 00:00:00;2012-07-31 00:00:00
107.28;107.92;107.92;107.28;5919073552.39;0;2012-06-01 00:00:00;2012-06-30 00:00:00
106.86;107.27;107.27;106.85;8961965132.13;0;2012-05-01 00:00:00;2012-05-31 00:00:00
106.33;106.81;106.81;106.33;14122759661.35;0;2012-04-01 00:00:00;2012-04-30 00:00:00
105.87;106.28;106.28;105.87;13022268851.78;0;2012-03-01 00:00:00;2012-03-31 00:00:00
105.34;105.84;105.84;105.34;3854989203.19;0;2012-02-01 00:00:00;2012-02-29 00:00:00
104.82;105.3;105.35;104.82;12806875152.31;0;2012-01-01 00:00:00;2012-01-31 00:00:00
